Rep	Block	PD	Environment	Genotype	Yield  
1	1	Low	Fumesua	TZdEI501 x 1368	3.9
1	1	Low	Fumesua	TZEI7 x 87036	5.06
1	1	Low	Fumesua	M131 x TZEI7	4.98
1	1	Low	Fumesua	M131 x TZdEI501 	4.91
1	1	Low	Fumesua	M131 x TZEI1 	4.79
1	1	Low	Fumesua	1368 x TZEI387	4.2
1	2	Low	Fumesua	CML16 x 1368	5.92
1	2	Low	Fumesua	CML16 x TZEI387	6.03
1	2	Low	Fumesua	TZdEI525 x M131	4.86
1	2	Low	Fumesua	CML16 x TZEI1 	5.63
1	2	Low	Fumesua	TZEI1 x TZEI7	5.33
1	2	Low	Fumesua	ENT11 x TZEI1	5.22
1	3	Low	Fumesua	M131 x ENT11 	4.82
1	3	Low	Fumesua	TZdEI501 x TZEI387	4.48
1	3	Low	Fumesua	TZEI387 x 87036	4.27
1	3	Low	Fumesua	1368 x TZEI7	5.04
1	3	Low	Fumesua	1368 x TZEI1	4.22
1	3	Low	Fumesua	TZMI740 x TZEI7	5.05
1	4	Low	Fumesua	TZMI740 x TZEI1	5.23
1	4	Low	Fumesua	TZdEI501 x TZEI1	4.96
1	4	Low	Fumesua	ENT11 x TZEI7	4.8
1	4	Low	Fumesua	M131 x EXP124	3.93
1	4	Low	Fumesua	M131 x 87036	4.77
1	4	Low	Fumesua	TZMI740 x CML16	5.35
1	5	Low	Fumesua	TZEI7 x TZEI387	3.07
1	5	Low	Fumesua	TZEI1 x 87036	4.19
1	5	Low	Fumesua	TZMI740 x ENT11	4.48
1	5	Low	Fumesua	1368 x 87036	4.62
1	5	Low	Fumesua	PAN53	6.3
1	5	Low	Fumesua	TZMI740 x M131	4.78
1	6	Low	Fumesua	CML16 x TZEI7	6.11
1	6	Low	Fumesua	ENT11 x 87036	6.39
1	6	Low	Fumesua	TZdEI501 x ENT11	4.55
1	6	Low	Fumesua	ENT11 x TZEI387	4.5
1	6	Low	Fumesua	CML16 x 87036	6.87
